id_cand,nombre_cand,apell_cand,fecha_nac_cand,direccion_cand,correo_cand,num_telefono,id_curriculum
101,Juan,González,1990-05-15,"Calle 123, Ciudad",juan.gonzalez@example.com,123-456-7890,101
102,María,López,1985-08-20,"Avenida XYZ, Ciudad",maria.lopez@example.com,234-567-8901,102
103,Pedro,Martínez,1992-03-10,"Carrera ABC, Ciudad",pedro.martinez@example.com,345-678-9012,103
104,Ana,Rodríguez,1988-11-25,"Calle 456, Ciudad",ana.rodriguez@example.com,456-789-0123,104
105,Carlos,Pérez,1991-07-02,"Avenida UVW, Ciudad",carlos.perez@example.com,567-890-1234,105
106,Laura,Sánchez,1987-09-18,"Carrera DEF, Ciudad",laura.sanchez@example.com,678-901-2345,106
107,Daniel,Gómez,1993-01-05,"Calle 789, Ciudad",daniel.gomez@example.com,789-012-3456,107
108,Sofía,Hernández,1989-06-30,"Avenida GHI, Ciudad",sofia.hernandez@example.com,890-123-4567,108
109,Javier,Díaz,1994-04-12,"Carrera JKL, Ciudad",javier.diaz@example.com,901-234-5678,109
110,Paula,Torres,1986-12-28,"Calle 012, Ciudad",paula.torres@example.com,012-345-6789,110
111,Andrés,Ruiz,1990-02-14,"Avenida MNO, Ciudad",andres.ruiz@example.com,123-456-7890,111
112,Carmen,García,1984-10-31,"Carrera PQR, Ciudad",carmen.garcia@example.com,234-567-8901,112
113,Luis,Vázquez,1995-07-17,"Calle 345, Ciudad",luis.vazquez@example.com,345-678-9012,113
114,Marta,Fernández,1983-03-04,"Avenida STU, Ciudad",marta.fernandez@example.com,456-789-0123,114
115,Diego,Ortega,1988-05-22,"Carrera VWX, Ciudad",diego.ortega@example.com,567-890-1234,115
116,Elena,Núñez,1992-09-09,"Calle 678, Ciudad",elena.nunez@example.com,678-901-2345,116
117,Roberto,Jiménez,1986-12-17,"Avenida YZA, Ciudad",roberto.jimenez@example.com,789-012-3456,117
118,Isabel,Morales,1993-02-03,"Carrera BCD, Ciudad",isabel.morales@example.com,890-123-4567,118
119,Manuel,Silva,1985-08-11,"Calle 901, Ciudad",manuel.silva@example.com,901-234-5678,119
120,Sara,Gutiérrez,1991-04-27,"Avenida EFG, Ciudad",sara.gutierrez@example.com,012-345-6789,120
